0,1,2,3,4,5,6,7,8,9,10
newspapers,bottled water,hard cheese,,,,,,,,
butter,root vegetables,,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
yogurt,hard cheese,other vegetables,rolls/buns,,,,,,,
whole milk,yogurt,,,,,,,,,
dessert,mustard,white bread,,,,,,,,
berries,newspapers,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
hamburger meat,whole milk,root vegetables,hygiene articles,hygiene articles,brown bread,,,,,
specialty bar,domestic eggs,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
other vegetables,margarine,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
beef,rolls/buns,,,,,,,,,
fruit/vegetable juice,long life bakery product,specialty cheese,,,,,,,,
root vegetables,berries,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
canned beer,honey,,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
rolls/buns,tropical fruit,salty snack,specialty bar,,,,,,,
whole milk,bottled beer,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
chicken,onions,white bread,,,,,,,,
soups,sugar,seasonal products,bottled beer,,,,,,,
sausage,pasta,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,chocolate,,,,,,,,,
specialty chocolate,soda,curd,female sanitary products,,,,,,,
sausage,yogurt,,,,,,,,,
pork,herbs,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
other vegetables,berries,whipped/sour cream,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
pip fruit,pastry,rolls/buns,chocolate,soda,,,,,,
pork,sweet spreads,,,,,,,,,
yogurt,other vegetables,red/blush wine,domestic eggs,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
pork,whole milk,domestic eggs,,,,,,,,
coffee,softener,,,,,,,,,
chicken,shopping bags,,,,,,,,,
photo/film,whole milk,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,herbs,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
yogurt,shopping bags,,,,,,,,,
soda,beverages,,,,,,,,,
whole milk,whole milk,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
bottled beer,other vegetables,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
yogurt,hamburger meat,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
citrus fruit,butter,,,,,,,,,
citrus fruit,salt,,,,,,,,,
tea,coffee,,,,,,,,,
curd,butter,,,,,,,,,
sausage,root vegetables,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
onions,soda,,,,,,,,,
soda,butter milk,soda,,,,,,,,
finished products,liquor,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
detergent,tropical fruit,soda,margarine,,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
coffee,other vegetables,,,,,,,,,
sugar,seasonal products,,,,,,,,,
chicken,pork,,,,,,,,,
hard cheese,white wine,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
soft cheese,sugar,,,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
Instant food products,yogurt,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
citrus fruit,candy,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter milk,snack products,packaged fruit/vegetables,,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
yogurt,condensed milk,,,,,,,,,
beef,domestic eggs,,,,,,,,,
chicken,onions,,,,,,,,,
domestic eggs,potato products,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
curd,frozen meals,,,,,,,,,
domestic eggs,brown bread,detergent,,,,,,,,
pastry,ketchup,,,,,,,,,
pip fruit,flour,,,,,,,,,
butter,hygiene articles,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
onions,ice cream,,,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
pasta,oil,,,,,,,,,
pastry,canned beer,,,,,,,,,
soft cheese,cat food,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
canned beer,beverages,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
cleaner,pip fruit,pastry,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,dessert,,,,,,,,,
